#Time, x, y, z
9.1476,135,125,-13.8887786823
9.1854,135,125,-13.8884005117
9.2232,135,125,-13.8880354829
9.261,135,125,-13.8876836565
9.2988,135,125,-13.8873450589
9.3366,135,125,-13.8870197329
9.3744,135,125,-13.8867077315
9.4122,135,125,-13.8864090934
9.45,135,125,-13.8861238459
9.4878,135,125,-13.8858520117
9.5256,135,125,-13.8855936184
9.5634,135,125,-13.8853487031
9.6012,135,125,-13.8851173052
9.639,135,125,-13.8848994547
9.6768,135,125,-13.8846951798
9.7146,135,125,-13.8845045156
9.7524,135,125,-13.8843274902
9.7902,135,125,-13.88416412
9.828,135,125,-13.8840144222
9.8658,135,125,-13.8838784157
9.9036,135,125,-13.8837561065
9.9414,135,125,-13.8836474999
9.9792,135,125,-13.88355262
10.017,135,125,-13.883471489
10.0548,135,125,-13.8834041149
10.0926,135,125,-13.8833505019
10.1304,135,125,-13.8833106531
10.1682,135,125,-13.8832845625
10.206,135,125,-13.8832722301
10.2438,135,125,-13.8832736746
10.2816,135,125,-13.8832889162
10.3194,135,125,-13.8833179586
10.3572,135,125,-13.8833607915
10.395,135,125,-13.883417419
10.4328,135,125,-13.8834878425
10.4706,135,125,-13.883572038
10.5084,135,125,-13.8836699881
10.5462,135,125,-13.8837816959
10.584,135,125,-13.8839071669
10.6218,135,125,-13.8840463851
10.6596,135,125,-13.8841993223
10.6974,135,125,-13.8843659576
10.7352,135,125,-13.8845462745
10.773,135,125,-13.8847402565
10.8108,135,125,-13.8849478869
10.8486,135,125,-13.885169146
10.8864,135,125,-13.8854040061
10.9242,135,125,-13.8856524342
10.962,135,125,-13.8859143946
10.9998,135,125,-13.8861898579
11.0376,135,125,-13.8864788018
11.0754,135,125,-13.8867811972
11.1132,135,125,-13.8870970075
11.151,135,125,-13.8874261926
11.1888,135,125,-13.8877687157
11.2266,135,125,-13.8881245436
11.2644,135,125,-13.8884936327
11.3022,135,125,-13.8888759292
11.34,135,125,-13.8892713851
11.3778,135,125,-13.8896799642
11.4156,135,125,-13.8901016262
11.4534,135,125,-13.8905363188
11.4912,135,125,-13.8909839928
11.529,135,125,-13.8914445958
11.5668,135,125,-13.8919180637
11.6046,135,125,-13.892404348
11.6424,135,125,-13.8929033969
11.6802,135,125,-13.89341514
11.718,135,125,-13.8939395235
11.7558,135,125,-13.8944764955
11.7936,135,125,-13.8950259827
11.8314,135,125,-13.8955879087
11.8692,135,125,-13.8961622061
11.907,135,125,-13.8967488115
11.9448,135,125,-13.8973476591
11.9826,135,125,-13.8979586782
12.0204,135,125,-13.8985817951
12.0582,135,125,-13.8992169345
12.096,135,125,-13.899864019
12.1338,135,125,-13.9005229703
12.1716,135,125,-13.901193705
12.2094,135,125,-13.9018761405
12.2472,135,125,-13.9025701992
12.285,135,125,-13.9032757965
12.3228,135,125,-13.9039928409
12.3606,135,125,-13.9047212432
12.3984,135,125,-13.9054609141
12.4362,135,125,-13.9062117606
12.474,135,125,-13.9069736911
12.5118,135,125,-13.9077466178
12.5496,135,125,-13.9085304501
12.5874,135,125,-13.9093251231
12.6252,135,125,-13.9101305633
12.663,135,125,-13.9109466408
12.7008,135,125,-13.9117732362
12.7386,135,125,-13.9126102497
12.7764,135,125,-13.9134575727
12.8142,135,125,-13.9143151016
12.852,135,125,-13.9151827281
12.8898,135,125,-13.9160603318
12.9276,135,125,-13.916947788
12.9654,135,125,-13.9178449767
13.0032,135,125,-13.918751788
13.041,135,125,-13.9196681156
13.0788,135,125,-13.9205938466
13.1166,135,125,-13.9215288573
13.1544,135,125,-13.9224730179
13.1922,135,125,-13.923426202
13.23,135,125,-13.9243882928
13.2678,135,125,-13.9253591693
13.3056,135,125,-13.9263387022
13.3434,135,125,-13.9273267561
13.3812,135,125,-13.9283231927
13.419,135,125,-13.9293278819
13.4568,135,125,-13.9303406915
13.4946,135,125,-13.9313614825
13.5324,135,125,-13.9323901236
13.5702,135,125,-13.9334264813
13.608,135,125,-13.9344704134
13.6458,135,125,-13.9355217836
13.6836,135,125,-13.9365804605
13.7214,135,125,-13.9376463024
13.7592,135,125,-13.9387191301
13.797,135,125,-13.9397987972
13.8348,135,125,-13.9408851959
13.8726,135,125,-13.94197817
13.9104,135,125,-13.9430775472
13.9482,135,125,-13.9441831683
13.986,135,125,-13.9452948738
14.0238,135,125,-13.9464125006
14.0616,135,125,-13.9475358883
14.0994,135,125,-13.9486648819
14.1372,135,125,-13.9497993327
14.175,135,125,-13.9509390761
14.2128,135,125,-13.9520839323
14.2506,135,125,-13.9532337333
14.2884,135,125,-13.9543883178
14.3262,135,125,-13.955547522
14.364,135,125,-13.9567111765
14.4018,135,125,-13.9578791087
14.4396,135,125,-13.9590511422
14.4774,135,125,-13.9602270998
14.5152,135,125,-13.9614068055
14.553,135,125,-13.9625900831
